,Date,Price,Open,High,Low,Change %,Target
37,"Sep 06, 2019",1.1029,1.1035,1.1058,1.102,-0.05,0
38,"Sep 05, 2019",1.1035,1.1037,1.1086,1.1017,0.0,0
39,"Sep 04, 2019",1.1035,1.0974,1.1038,1.0969,0.56,1
40,"Sep 03, 2019",1.0974,1.097,1.098,1.0926,0.05,1
41,"Sep 02, 2019",1.0968,1.099,1.1,1.0958,-0.21,0
42,"Aug 30, 2019",1.0991,1.1058,1.1062,1.0963,-0.6,0
43,"Aug 29, 2019",1.1057,1.1078,1.1093,1.1042,-0.19,0
44,"Aug 28, 2019",1.1078,1.109,1.1099,1.1072,-0.12,0
45,"Aug 27, 2019",1.1091,1.1101,1.1116,1.1084,-0.1,0
46,"Aug 26, 2019",1.1102,1.1147,1.1166,1.1094,-0.38,0
47,"Aug 23, 2019",1.1144,1.1079,1.1154,1.1051,0.59,1
48,"Aug 22, 2019",1.1079,1.1084,1.1114,1.1063,-0.05,0
49,"Aug 21, 2019",1.1085,1.11,1.1109,1.1081,-0.14,0
50,"Aug 20, 2019",1.11,1.1079,1.1107,1.1065,0.2,1
51,"Aug 19, 2019",1.1078,1.1092,1.1115,1.1076,-0.11,0
52,"Aug 16, 2019",1.109,1.1106,1.1113,1.1066,-0.15,0
53,"Aug 15, 2019",1.1107,1.1138,1.1159,1.109,-0.29,0
54,"Aug 14, 2019",1.1139,1.117,1.1191,1.113,-0.29,0
55,"Aug 13, 2019",1.1171,1.1214,1.1229,1.1171,-0.38,0
56,"Aug 12, 2019",1.1214,1.1204,1.1232,1.1162,0.12,1
57,"Aug 09, 2019",1.12,1.1181,1.1224,1.118,0.18,1
58,"Aug 08, 2019",1.118,1.1199,1.1233,1.1177,-0.17,0
59,"Aug 07, 2019",1.1199,1.1199,1.1243,1.118,-0.01,0
60,"Aug 06, 2019",1.12,1.1203,1.1251,1.1168,-0.02,0
61,"Aug 05, 2019",1.1202,1.1101,1.1213,1.1101,0.84,1
62,"Aug 02, 2019",1.1109,1.1087,1.1118,1.107,0.22,1
63,"Aug 01, 2019",1.1085,1.1076,1.1097,1.1027,0.08,1
64,"Jul 31, 2019",1.1076,1.1155,1.1163,1.1059,-0.71,0
65,"Jul 30, 2019",1.1155,1.1144,1.1162,1.1132,0.1,1
66,"Jul 29, 2019",1.1144,1.1126,1.1151,1.1112,0.15,1
67,"Jul 26, 2019",1.1127,1.1147,1.1152,1.1112,-0.18,0
68,"Jul 25, 2019",1.1147,1.1142,1.1189,1.1102,0.05,1
69,"Jul 24, 2019",1.1141,1.1152,1.116,1.1127,-0.11,0
70,"Jul 23, 2019",1.1153,1.121,1.1211,1.1146,-0.51,0
71,"Jul 22, 2019",1.121,1.1218,1.1227,1.1206,-0.11,0
72,"Jul 19, 2019",1.1222,1.1277,1.1283,1.1204,-0.49,0
73,"Jul 18, 2019",1.1277,1.1224,1.1282,1.1205,0.47,1
74,"Jul 17, 2019",1.1224,1.121,1.1234,1.1199,0.12,1
75,"Jul 16, 2019",1.1211,1.1258,1.1265,1.1202,-0.42,0
76,"Jul 15, 2019",1.1258,1.1268,1.1285,1.1252,-0.12,0
77,"Jul 12, 2019",1.1271,1.1254,1.1277,1.1238,0.15,1
78,"Jul 11, 2019",1.1254,1.1251,1.1287,1.1245,0.03,1
79,"Jul 10, 2019",1.1251,1.1208,1.1265,1.1202,0.38,1
80,"Jul 09, 2019",1.1208,1.1215,1.1221,1.1194,-0.06,0
81,"Jul 08, 2019",1.1215,1.1221,1.1235,1.1205,-0.1,0
82,"Jul 05, 2019",1.1226,1.1285,1.1289,1.1207,-0.52,0
83,"Jul 04, 2019",1.1285,1.1277,1.1296,1.1272,0.06,1
84,"Jul 03, 2019",1.1278,1.1284,1.1311,1.1268,-0.06,0
85,"Jul 02, 2019",1.1285,1.1286,1.1321,1.1275,0.0,0
86,"Jul 01, 2019",1.1285,1.1375,1.1375,1.128,-0.75,0
87,"Jun 28, 2019",1.137,1.1371,1.1395,1.1351,0.0,0
88,"Jun 27, 2019",1.137,1.1369,1.1383,1.1348,0.01,1
89,"Jun 26, 2019",1.1369,1.1365,1.1392,1.1347,0.02,1
90,"Jun 25, 2019",1.1367,1.14,1.1414,1.1344,-0.27,0
91,"Jun 24, 2019",1.1398,1.1361,1.1405,1.1361,0.26,1
92,"Jun 21, 2019",1.1368,1.1292,1.1379,1.1283,0.67,1
93,"Jun 20, 2019",1.1292,1.1225,1.1318,1.1225,0.59,1
94,"Jun 19, 2019",1.1226,1.1193,1.1254,1.1187,0.29,1
95,"Jun 18, 2019",1.1193,1.1219,1.1244,1.1181,-0.22,0
96,"Jun 17, 2019",1.1218,1.1215,1.1247,1.1203,0.08,1
97,"Jun 14, 2019",1.1209,1.1282,1.1291,1.1202,-0.6,0
98,"Jun 13, 2019",1.1277,1.1287,1.1305,1.1268,-0.11,0
99,"Jun 12, 2019",1.1289,1.1326,1.1345,1.1282,-0.38,0
