,Date,Price,Open,High,Low,Change %,Target
356,"Jun 18, 2018",1.1623,1.1609,1.1625,1.1563,0.12,1
357,"Jun 15, 2018",1.1609,1.1568,1.1629,1.1543,0.35,1
358,"Jun 14, 2018",1.1569,1.1791,1.1853,1.1562,-1.88,0
359,"Jun 13, 2018",1.1791,1.1745,1.1803,1.1725,0.39,1
360,"Jun 12, 2018",1.1745,1.1784,1.1811,1.1733,-0.33,0
361,"Jun 11, 2018",1.1784,1.1766,1.1822,1.1754,0.14,1
362,"Jun 08, 2018",1.1768,1.18,1.1812,1.1726,-0.26,0
363,"Jun 07, 2018",1.1799,1.1774,1.1842,1.1772,0.22,1
364,"Jun 06, 2018",1.1773,1.1717,1.1797,1.1708,0.47,1
365,"Jun 05, 2018",1.1718,1.1698,1.1733,1.1652,0.16,1
366,"Jun 04, 2018",1.1699,1.1656,1.1744,1.1652,0.33,1
367,"Jun 01, 2018",1.1661,1.1691,1.1718,1.1617,-0.27,0
368,"May 31, 2018",1.1692,1.1665,1.1726,1.1641,0.25,1
369,"May 30, 2018",1.1663,1.154,1.1678,1.1518,1.07,1
370,"May 29, 2018",1.154,1.1625,1.1641,1.1508,-0.71,0
371,"May 28, 2018",1.1623,1.1651,1.1729,1.1605,-0.25,0
372,"May 25, 2018",1.1652,1.172,1.1735,1.1645,-0.58,0
373,"May 24, 2018",1.172,1.1695,1.175,1.1688,0.2,1
374,"May 23, 2018",1.1697,1.1778,1.179,1.1675,-0.7,0
375,"May 22, 2018",1.1779,1.1792,1.183,1.1754,-0.1,0
376,"May 21, 2018",1.1791,1.1764,1.1797,1.1717,0.11,1
377,"May 18, 2018",1.1778,1.1796,1.1825,1.1749,-0.14,0
378,"May 17, 2018",1.1795,1.1808,1.1839,1.1775,-0.1,0
379,"May 16, 2018",1.1807,1.1837,1.1854,1.1762,-0.26,0
380,"May 15, 2018",1.1838,1.1925,1.1939,1.1817,-0.75,0
381,"May 14, 2018",1.1927,1.1947,1.1998,1.1926,-0.14,0
382,"May 11, 2018",1.1944,1.1917,1.197,1.1891,0.24,1
383,"May 10, 2018",1.1915,1.1852,1.1948,1.1843,0.55,1
384,"May 09, 2018",1.185,1.1863,1.1898,1.1822,-0.12,0
385,"May 08, 2018",1.1864,1.1924,1.1941,1.1838,-0.49,0
386,"May 07, 2018",1.1922,1.1953,1.198,1.1898,-0.32,0
387,"May 04, 2018",1.196,1.1989,1.1997,1.1911,-0.23,0
388,"May 03, 2018",1.1988,1.1951,1.2009,1.1946,0.31,1
389,"May 02, 2018",1.1951,1.1992,1.2033,1.1938,-0.35,0
390,"May 01, 2018",1.1993,1.2076,1.2086,1.1981,-0.71,0
391,"Apr 30, 2018",1.2079,1.2125,1.2141,1.2064,-0.42,0
392,"Apr 27, 2018",1.213,1.2105,1.2135,1.2055,0.22,1
393,"Apr 26, 2018",1.2103,1.2161,1.2211,1.2096,-0.48,0
394,"Apr 25, 2018",1.2161,1.2232,1.224,1.216,-0.58,0
395,"Apr 24, 2018",1.2232,1.2209,1.2247,1.2182,0.19,1
396,"Apr 23, 2018",1.2209,1.2289,1.2292,1.2198,-0.64,0
397,"Apr 20, 2018",1.2288,1.2346,1.2354,1.225,-0.47,0
398,"Apr 19, 2018",1.2346,1.2373,1.2402,1.2329,-0.22,0
399,"Apr 18, 2018",1.2373,1.2369,1.2398,1.2343,0.02,1
400,"Apr 17, 2018",1.237,1.2378,1.2413,1.2335,-0.08,0
401,"Apr 16, 2018",1.238,1.233,1.2395,1.2325,0.4,1
402,"Apr 13, 2018",1.2331,1.2327,1.2348,1.2307,0.03,1
403,"Apr 12, 2018",1.2327,1.2368,1.2382,1.23,-0.32,0
404,"Apr 11, 2018",1.2367,1.2357,1.2397,1.2347,0.09,1
405,"Apr 10, 2018",1.2356,1.232,1.2379,1.2303,0.28,1
406,"Apr 09, 2018",1.2321,1.2279,1.2331,1.2261,0.31,1
407,"Apr 06, 2018",1.2283,1.224,1.2292,1.2214,0.35,1
408,"Apr 05, 2018",1.224,1.2278,1.2292,1.2218,-0.31,0
409,"Apr 04, 2018",1.2278,1.2269,1.2315,1.2256,0.07,1
410,"Apr 03, 2018",1.227,1.2304,1.2336,1.2253,-0.26,0
411,"Apr 02, 2018",1.2302,1.2323,1.2346,1.2282,-0.17,0
412,"Mar 30, 2018",1.2323,1.2301,1.2331,1.2293,0.17,1
413,"Mar 29, 2018",1.2302,1.2308,1.2335,1.2282,-0.05,0
414,"Mar 28, 2018",1.2308,1.2403,1.2424,1.23,-0.77,0
415,"Mar 27, 2018",1.2403,1.2444,1.2478,1.2373,-0.32,0
416,"Mar 26, 2018",1.2443,1.2348,1.2463,1.2341,0.73,1
417,"Mar 23, 2018",1.2353,1.2302,1.2375,1.2301,0.41,1
418,"Mar 22, 2018",1.2302,1.2337,1.2389,1.2285,-0.29,0
419,"Mar 21, 2018",1.2338,1.2242,1.2351,1.2241,0.78,1
420,"Mar 20, 2018",1.2242,1.2335,1.2356,1.2239,-0.75,0
421,"Mar 19, 2018",1.2335,1.2284,1.2361,1.2258,0.37,1
422,"Mar 16, 2018",1.2289,1.2305,1.2338,1.2261,-0.13,0
423,"Mar 15, 2018",1.2305,1.2366,1.2385,1.2299,-0.5,0
424,"Mar 14, 2018",1.2367,1.239,1.2414,1.2347,-0.19,0
425,"Mar 13, 2018",1.239,1.2334,1.2408,1.2314,0.45,1
426,"Mar 12, 2018",1.2334,1.2311,1.2347,1.2291,0.22,1
427,"Mar 09, 2018",1.2307,1.2312,1.2336,1.2273,-0.04,0
428,"Mar 08, 2018",1.2312,1.2411,1.2448,1.2298,-0.81,0
429,"Mar 07, 2018",1.2413,1.2404,1.2445,1.2385,0.07,1
430,"Mar 06, 2018",1.2404,1.2336,1.2422,1.2328,0.55,1
431,"Mar 05, 2018",1.2336,1.2323,1.2366,1.2268,0.15,1
432,"Mar 02, 2018",1.2317,1.2266,1.2336,1.225,0.4,1
433,"Mar 01, 2018",1.2268,1.2193,1.2272,1.2153,0.61,1
434,"Feb 28, 2018",1.2194,1.2232,1.2243,1.2188,-0.31,0
435,"Feb 27, 2018",1.2232,1.2317,1.2348,1.2221,-0.7,0
436,"Feb 26, 2018",1.2318,1.2299,1.2356,1.2278,0.2,1
437,"Feb 23, 2018",1.2293,1.2329,1.2337,1.2279,-0.31,0
438,"Feb 22, 2018",1.2331,1.2283,1.2354,1.226,0.38,1
439,"Feb 21, 2018",1.2284,1.2338,1.2361,1.2281,-0.44,0
440,"Feb 20, 2018",1.2338,1.2409,1.2414,1.232,-0.56,0
441,"Feb 19, 2018",1.2408,1.2409,1.2435,1.2368,0.02,1
442,"Feb 16, 2018",1.2406,1.2506,1.2557,1.2394,-0.8,0
443,"Feb 15, 2018",1.2506,1.2449,1.2511,1.2447,0.45,1
444,"Feb 14, 2018",1.245,1.2352,1.2467,1.2276,0.79,1
445,"Feb 13, 2018",1.2352,1.2293,1.2373,1.2285,0.49,1
446,"Feb 12, 2018",1.2292,1.2253,1.2298,1.2234,0.47,1
447,"Feb 09, 2018",1.2235,1.2245,1.2289,1.2206,-0.1,0
448,"Feb 08, 2018",1.2247,1.2264,1.2297,1.2212,-0.14,0
449,"Feb 07, 2018",1.2264,1.2378,1.2407,1.2247,-0.91,0
450,"Feb 06, 2018",1.2377,1.2367,1.2434,1.2314,0.07,1
451,"Feb 05, 2018",1.2368,1.2455,1.2475,1.2362,-0.75,0
452,"Feb 02, 2018",1.2462,1.2508,1.2519,1.2409,-0.38,0
453,"Feb 01, 2018",1.251,1.2414,1.2524,1.2386,0.72,1
454,"Jan 31, 2018",1.2421,1.2401,1.2476,1.2386,0.15,1
455,"Jan 30, 2018",1.2402,1.2383,1.2455,1.2335,0.15,1
456,"Jan 29, 2018",1.2383,1.2427,1.2436,1.2336,-0.31,0
457,"Jan 26, 2018",1.2421,1.2395,1.2495,1.2371,0.2,1
458,"Jan 25, 2018",1.2396,1.2408,1.2537,1.2364,-0.1,0
459,"Jan 24, 2018",1.2408,1.2299,1.2417,1.2293,0.89,1
460,"Jan 23, 2018",1.2299,1.2263,1.2308,1.2223,0.3,1
461,"Jan 22, 2018",1.2262,1.2268,1.2276,1.2214,0.33,1
462,"Jan 19, 2018",1.2222,1.2236,1.2296,1.2219,-0.14,0
463,"Jan 18, 2018",1.2239,1.2186,1.2267,1.2165,0.43,1
464,"Jan 17, 2018",1.2186,1.226,1.2324,1.2176,-0.61,0
465,"Jan 16, 2018",1.2261,1.2265,1.2284,1.2194,-0.02,0
466,"Jan 15, 2018",1.2263,1.2198,1.2298,1.2188,0.62,1
467,"Jan 12, 2018",1.2187,1.2033,1.219,1.2031,1.29,1
468,"Jan 11, 2018",1.2032,1.1946,1.206,1.1928,0.71,1
469,"Jan 10, 2018",1.1947,1.1938,1.2019,1.1923,0.08,1
470,"Jan 09, 2018",1.1937,1.1967,1.1977,1.1916,-0.25,0
471,"Jan 08, 2018",1.1967,1.2029,1.2054,1.1956,-0.52,0
472,"Jan 05, 2018",1.203,1.2068,1.2085,1.2021,-0.31,0
473,"Jan 04, 2018",1.2068,1.2015,1.209,1.2004,0.45,1
474,"Jan 03, 2018",1.2014,1.2058,1.207,1.2001,-0.37,0
475,"Jan 02, 2018",1.2059,1.2013,1.2084,1.2003,0.41,1
476,"Jan 01, 2018",1.201,1.2003,1.2014,1.1995,0.1,1
477,"Dec 29, 2017",1.1998,1.1943,1.203,1.1937,0.46,1
478,"Dec 28, 2017",1.1943,1.1888,1.1961,1.1888,0.46,1
479,"Dec 27, 2017",1.1888,1.1859,1.1912,1.1855,0.24,1
480,"Dec 26, 2017",1.1859,1.1867,1.1879,1.1845,-0.08,0
481,"Dec 25, 2017",1.1869,1.185,1.1882,1.1842,0.08,1
482,"Dec 22, 2017",1.1859,1.1874,1.1878,1.1817,-0.12,0
483,"Dec 21, 2017",1.1873,1.1871,1.1889,1.1848,0.02,1
484,"Dec 20, 2017",1.1871,1.184,1.1903,1.1829,0.26,1
485,"Dec 19, 2017",1.184,1.1782,1.1851,1.1777,0.49,1
486,"Dec 18, 2017",1.1782,1.1753,1.1834,1.1737,0.24,1
487,"Dec 15, 2017",1.1754,1.1778,1.1814,1.1751,-0.2,0
488,"Dec 14, 2017",1.1778,1.1826,1.1863,1.177,-0.41,0
489,"Dec 13, 2017",1.1826,1.1743,1.1832,1.1729,0.72,1
490,"Dec 12, 2017",1.1742,1.177,1.1794,1.1718,-0.22,0
491,"Dec 11, 2017",1.1768,1.1767,1.1812,1.1762,0.03,1
492,"Dec 08, 2017",1.1764,1.1771,1.1778,1.1728,-0.08,0
493,"Dec 07, 2017",1.1773,1.1796,1.1816,1.1772,-0.19,0
494,"Dec 06, 2017",1.1796,1.1825,1.1849,1.178,-0.25,0
495,"Dec 05, 2017",1.1826,1.1866,1.1879,1.1801,-0.34,0
496,"Dec 04, 2017",1.1866,1.1882,1.189,1.183,-0.21,0
497,"Dec 01, 2017",1.1891,1.1904,1.1942,1.1851,-0.11,0
498,"Nov 30, 2017",1.1904,1.1847,1.1933,1.1809,0.48,1
499,"Nov 29, 2017",1.1847,1.1841,1.1884,1.1817,0.05,1
500,"Nov 28, 2017",1.1841,1.1898,1.1921,1.1827,-0.48,0
501,"Nov 27, 2017",1.1898,1.1933,1.1962,1.1896,-0.27,0
502,"Nov 24, 2017",1.193,1.185,1.1945,1.1836,0.67,1
503,"Nov 23, 2017",1.1851,1.1822,1.1857,1.1812,0.25,1
504,"Nov 22, 2017",1.1822,1.1738,1.1829,1.1733,0.72,1
505,"Nov 21, 2017",1.1738,1.1732,1.1759,1.1713,0.05,1
506,"Nov 20, 2017",1.1732,1.1789,1.1808,1.1721,-0.53,0
507,"Nov 17, 2017",1.1795,1.1771,1.1823,1.1766,0.21,1
508,"Nov 16, 2017",1.177,1.1792,1.1802,1.1756,-0.19,0
509,"Nov 15, 2017",1.1792,1.1797,1.1861,1.1784,-0.05,0
510,"Nov 14, 2017",1.1798,1.1667,1.1807,1.166,1.12,1
511,"Nov 13, 2017",1.1667,1.1666,1.1677,1.1638,0.02,1
512,"Nov 10, 2017",1.1665,1.1642,1.168,1.1623,0.2,1
513,"Nov 09, 2017",1.1642,1.1596,1.1657,1.1586,0.41,1
514,"Nov 08, 2017",1.1595,1.1586,1.1612,1.1579,0.08,1
515,"Nov 07, 2017",1.1586,1.1609,1.1618,1.1554,-0.21,0
516,"Nov 06, 2017",1.161,1.1609,1.1625,1.1579,0.01,1
517,"Nov 03, 2017",1.1609,1.166,1.1692,1.1599,-0.42,0
518,"Nov 02, 2017",1.1658,1.1619,1.1689,1.1613,0.34,1
519,"Nov 01, 2017",1.1619,1.1646,1.1659,1.1607,-0.23,0
520,"Oct 31, 2017",1.1646,1.1651,1.1663,1.1625,-0.04,0
521,"Oct 30, 2017",1.1651,1.1603,1.166,1.1594,0.35,1
